answer,word_ids,vocab_size,predicted_profiles
climate,"[18, 14, 6, 19, 2, 8, 4]",34,"[0.26430344581604004, 0.09427159279584885, 0.2144050896167755, 0.39215871691703796, 0.03486113250255585]"
demand,"[20, 4, 19, 2, 5, 20]",34,"[0.23034195601940155, 0.16227202117443085, 0.31589415669441223, 0.25533580780029297, 0.036156050860881805]"
denominator,"[20, 4, 5, 12, 19, 6, 5, 2, 8, 12, 11]",34,"[0.028421437367796898, 0.5077499151229858, 0.018063748255372047, 0.4435298442840576, 0.002235017018392682]"
ecosystem,"[4, 18, 12, 7, 21, 7, 8, 4, 19]",34,"[0.258676141500473, 0.06467581540346146, 0.0738748237490654, 0.5449011325836182, 0.05787203460931778]"
environment,"[4, 5, 28, 6, 11, 12, 5, 19, 4, 5, 8]",34,"[0.5255563259124756, 0.044940002262592316, 0.3263758420944214, 0.0882238820195198, 0.014903892762959003]"
factor,"[22, 2, 18, 8, 12, 11]",34,"[0.26675742864608765, 0.222617968916893, 0.18892008066177368, 0.25720348954200745, 0.06450100988149643]"
fraction,"[22, 11, 2, 18, 8, 6, 12, 5]",34,"[0.10504912585020065, 0.14876927435398102, 0.42514485120773315, 0.2634114921092987, 0.057625219225883484]"
goods,"[17, 12, 12, 20, 7]",34,"[0.14802885055541992, 0.055907152593135834, 0.5883732438087463, 0.1624421328306198, 0.045248597860336304]"
government,"[17, 12, 28, 4, 11, 5, 19, 4, 5, 8]",34,"[0.12344775348901749, 0.0887693390250206, 0.6327653527259827, 0.14815853536128998, 0.006859124172478914]"
inherit,"[6, 5, 9, 4, 11, 6, 8]",34,"[0.28473255038261414, 0.36192649602890015, 0.15310752391815186, 0.13971520960330963, 0.0605182945728302]"
law,"[14, 2, 26]",34,"[0.3854151964187622, 0.2124687284231186, 0.09405633062124252, 0.179986372590065, 0.12807337939739227]"
leader,"[14, 4, 2, 20, 4, 11]",34,"[0.4784586727619171, 0.0453098826110363, 0.2121291160583496, 0.23621967434883118, 0.027882667258381844]"
multiple,"[19, 13, 14, 8, 6, 3, 14, 4]",34,"[0.3499799072742462, 0.27724605798721313, 0.2970448434352875, 0.0591806136071682, 0.016548583284020424]"
numerator,"[5, 13, 19, 4, 11, 2, 8, 12, 11]",34,"[0.09726189821958542, 0.33051761984825134, 0.09215899556875229, 0.4718596637248993, 0.008201869204640388]"
perimeter,"[3, 4, 11, 6, 19, 4, 8, 4, 11]",34,"[0.21102936565876007, 0.37996795773506165, 0.08763044327497482, 0.29354074597358704, 0.027831504121422768]"
product,"[3, 11, 12, 20, 13, 18, 8]",34,"[0.1149882972240448, 0.11053672432899475, 0.4068475663661957, 0.3370201587677002, 0.03060722164809704]"
quotient,"[24, 13, 12, 8, 6, 4, 5, 8]",34,"[0.27225497364997864, 0.16897231340408325, 0.219602569937706, 0.31383806467056274, 0.025332046672701836]"
region,"[11, 4, 17, 6, 12, 5]",34,"[0.15154993534088135, 0.30060920119285583, 0.17116354405879974, 0.34573954343795776, 0.030937695875763893]"
resource,"[11, 4, 7, 12, 13, 11, 18, 4]",34,"[0.5218281149864197, 0.09624499827623367, 0.17401228845119476, 0.17900550365447998, 0.028909113258123398]"
responsible,"[11, 4, 7, 3, 12, 5, 7, 6, 10, 14, 4]",34,"[0.11284493654966354, 0.06489992141723633, 0.07560331374406815, 0.7083818912506104, 0.03826993331313133]"
rights,"[11, 6, 17, 9, 8, 7]",34,"[0.4219047427177429, 0.18089057505130768, 0.21559560298919678, 0.12556008994579315, 0.056049030274152756]"
services,"[7, 4, 11, 28, 6, 18, 4, 7]",34,"[0.3847027122974396, 0.08848907798528671, 0.11289084702730179, 0.309905081987381, 0.10401223599910736]"
supply,"[7, 13, 3, 3, 14, 21]",34,"[0.08383245766162872, 0.046741269528865814, 0.7388627529144287, 0.10057099908590317, 0.029992610216140747]"
trade,"[8, 11, 2, 20, 4]",34,"[0.5382815003395081, 0.1463892161846161, 0.13509799540042877, 0.1461195945739746, 0.034111686050891876]"
autobiography,"[2, 13, 8, 12, 10, 6, 12, 17, 11, 2, 3, 9, 21]",34,"[0.032188162207603455, 0.9075493812561035, 0.026382381096482277, 0.03246502950787544, 0.0014150319620966911]"
biography,"[10, 6, 12, 17, 11, 2, 3, 9, 21]",34,"[0.05634455382823944, 0.8201034665107727, 0.0734601616859436, 0.04001455008983612, 0.010077184997498989]"
caption,"[18, 2, 3, 8, 6, 12, 5]",34,"[0.15113475918769836, 0.3388524353504181, 0.3695144057273865, 0.10199426859617233, 0.038504183292388916]"
conflict,"[18, 12, 5, 22, 14, 6, 18, 8]",34,"[0.14060163497924805, 0.10718240588903427, 0.5734764933586121, 0.10434498637914658, 0.07439452409744263]"
dialogue,"[20, 6, 2, 14, 12, 17, 13, 4]",34,"[0.11388750374317169, 0.13271881639957428, 0.0900799036026001, 0.6499649286270142, 0.013348782435059547]"
drama,"[20, 11, 2, 19, 2]",34,"[0.25662991404533386, 0.14756730198860168, 0.10580023378133774, 0.4101670980453491, 0.07983537018299103]"
first person,"[22, 6, 11, 7, 8, 31, 3, 4, 11, 7, 12, 5]",34,"[0.4399755001068115, 0.1347053200006485, 0.07021810859441757, 0.30747923254966736, 0.04762183129787445]"
folktale,"[22, 12, 14, 16, 8, 2, 14, 4]",34,"[0.49622857570648193, 0.10320762544870377, 0.31723520159721375, 0.06976565718650818, 0.013562951236963272]"
illustration,"[6, 14, 14, 13, 7, 8, 11, 2, 8, 6, 12, 5]",34,"[0.10835310071706772, 0.04573521018028259, 0.7659297585487366, 0.0674634724855423, 0.01251846831291914]"
legend,"[14, 4, 17, 4, 5, 20]",34,"[0.15583369135856628, 0.2382803112268448, 0.12253525108098984, 0.43536072969436646, 0.04799005761742592]"
lesson,"[14, 4, 7, 7, 12, 5]",34,"[0.2947225272655487, 0.07920622080564499, 0.3584004342556, 0.2225077897310257, 0.04516299068927765]"
main idea,"[19, 2, 6, 5, 31, 6, 20, 4, 2]",34,"[0.8524729013442993, 0.022008141502738, 0.06079825013875961, 0.05705777928233147, 0.007662994787096977]"
motivation,"[19, 12, 8, 6, 28, 2, 8, 6, 12, 5]",34,"[0.07611697912216187, 0.2547931969165802, 0.3836180567741394, 0.2741672992706299, 0.011304493062198162]"
myth,"[19, 21, 8, 9]",34,"[0.2316555231809616, 0.18256771564483643, 0.36640769243240356, 0.15516436100006104, 0.06420473754405975]"
paragraph,"[3, 2, 11, 2, 17, 11, 2, 3, 9]",34,"[0.22229595482349396, 0.44900569319725037, 0.1931542158126831, 0.09818633645772934, 0.037357743829488754]"
passage,"[3, 2, 7, 7, 2, 17, 4]",34,"[0.18072423338890076, 0.07758869975805283, 0.6495084166526794, 0.079681895673275, 0.012496727518737316]"
point of view,"[3, 12, 6, 5, 8, 31, 12, 22, 31, 28, 6, 4, 26]",34,"[0.6520941257476807, 0.039426326751708984, 0.20471526682376862, 0.09562155604362488, 0.00814276933670044]"
prose,"[3, 11, 12, 7, 4]",34,"[0.5409534573554993, 0.05781351402401924, 0.2828862965106964, 0.09397571533918381, 0.024370988830924034]"
resolution,"[11, 4, 7, 12, 14, 13, 8, 6, 12, 5]",34,"[0.0974622368812561, 0.08407778292894363, 0.5179364681243896, 0.2913295030593872, 0.00919399131089449]"
rhythm,"[11, 9, 21, 8, 9, 19]",34,"[0.1754050850868225, 0.3686714768409729, 0.1895064115524292, 0.18031229078769684, 0.08610464632511139]"
scene,"[7, 18, 4, 5, 4]",34,"[0.22893646359443665, 0.1203734278678894, 0.18689274787902832, 0.29822617769241333, 0.1655711680650711]"
stage directions,"[7, 8, 2, 17, 4, 31, 20, 6, 11, 4, 18, 8, 6, 12, 5, 7]",34,"[0.3318587839603424, 0.0704234316945076, 0.49603894352912903, 0.09538265317678452, 0.006296220235526562]"
stanza,"[7, 8, 2, 5, 15, 2]",34,"[0.37920746207237244, 0.1533467024564743, 0.19634217023849487, 0.19996443390846252, 0.07113926112651825]"
text feature,"[8, 4, 27, 8, 31, 22, 4, 2, 8, 13, 11, 4]",34,"[0.6350603103637695, 0.032743606716394424, 0.26395246386528015, 0.06445769220590591, 0.0037860472220927477]"
theme,"[8, 9, 4, 19, 4]",34,"[0.2525349259376526, 0.3344138264656067, 0.24361063539981842, 0.1293315589427948, 0.040109120309352875]"
third person,"[8, 9, 6, 11, 20, 31, 3, 4, 11, 7, 12, 5]",34,"[0.6003079414367676, 0.07894691824913025, 0.07635512948036194, 0.2234770804643631, 0.020912976935505867]"
trait,"[8, 11, 2, 6, 8]",34,"[0.5923934578895569, 0.09594900161027908, 0.07024118304252625, 0.18480858206748962, 0.05660771578550339]"
verse,"[28, 4, 11, 7, 4]",34,"[0.4939308762550354, 0.17592297494411469, 0.1352168768644333, 0.15426792204380035, 0.040661294013261795]"
argument,"[2, 11, 17, 13, 19, 4, 5, 8]",34,"[0.04087767377495766, 0.023007512092590332, 0.8122593760490417, 0.11631006747484207, 0.007545378524810076]"
assess,"[2, 7, 7, 4, 7, 7]",34,"[0.24093127250671387, 0.04612293094396591, 0.5919650793075562, 0.09352230280637741, 0.02745845355093479]"
bias,"[10, 6, 2, 7]",34,"[0.37296515703201294, 0.2253788709640503, 0.1436370611190796, 0.13778823614120483, 0.12023063004016876]"
chronological,"[18, 9, 11, 12, 5, 12, 14, 12, 17, 6, 18, 2, 14]",34,"[0.11997069418430328, 0.0826890617609024, 0.5559905171394348, 0.22878797352313995, 0.012561685405671597]"
cite,"[18, 6, 8, 4]",34,"[0.5865676403045654, 0.06299792975187302, 0.14082759618759155, 0.16138003766536713, 0.04822671040892601]"
claim,"[18, 14, 2, 6, 19]",34,"[0.29668334126472473, 0.1704501062631607, 0.21222837269306183, 0.2057218849658966, 0.11491629481315613]"
clarify,"[18, 14, 2, 11, 6, 22, 21]",34,"[0.22948361933231354, 0.24278691411018372, 0.1783149391412735, 0.10572566092014313, 0.24368895590305328]"
conclude,"[18, 12, 5, 18, 14, 13, 20, 4]",34,"[0.22410248219966888, 0.08014842122793198, 0.5433752536773682, 0.10831093043088913, 0.04406293109059334]"
context,"[18, 12, 5, 8, 4, 27, 8]",34,"[0.14141157269477844, 0.3859412670135498, 0.09618111699819565, 0.3388141691684723, 0.03765185549855232]"
convert,"[18, 12, 5, 28, 4, 11, 8]",34,"[0.2128521203994751, 0.0674780011177063, 0.29284393787384033, 0.3593869209289551, 0.06743903458118439]"
counterclaim,"[18, 12, 13, 5, 8, 4, 11, 18, 14, 2, 6, 19]",34,"[0.24656623601913452, 0.08219611644744873, 0.540370762348175, 0.11481223255395889, 0.016054667532444]"
credible,"[18, 11, 4, 20, 6, 10, 14, 4]",34,"[0.19651323556900024, 0.23093312978744507, 0.06833092868328094, 0.46241798996925354, 0.04180465638637543]"
criteria,"[18, 11, 6, 8, 4, 11, 6, 2]",34,"[0.323501855134964, 0.19782309234142303, 0.07497809082269669, 0.33383896946907043, 0.06985802948474884]"
debate,"[20, 4, 10, 2, 8, 4]",34,"[0.24119605123996735, 0.07650426030158997, 0.33921724557876587, 0.3122537434101105, 0.030828651040792465]"
deduce,"[20, 4, 20, 13, 18, 4]",34,"[0.19203202426433563, 0.474324494600296, 0.21267816424369812, 0.09661819040775299, 0.024347154423594475]"
elaborate,"[4, 14, 2, 10, 12, 11, 2, 8, 4]",34,"[0.16832402348518372, 0.5939652323722839, 0.040819235146045685, 0.18239977955818176, 0.014491662383079529]"
essential,"[4, 7, 7, 4, 5, 8, 6, 2, 14]",34,"[0.16417545080184937, 0.4725169837474823, 0.1931104212999344, 0.1493777185678482, 0.020819487050175667]"
evaluate,"[4, 28, 2, 14, 13, 2, 8, 4]",34,"[0.11755019426345825, 0.021020054817199707, 0.5854684114456177, 0.26685795187950134, 0.009103389456868172]"
expository,"[4, 27, 3, 12, 7, 6, 8, 12, 11, 21]",34,"[0.06560755521059036, 0.11283114552497864, 0.08951151371002197, 0.7101432681083679, 0.021906470879912376]"
formulate,"[22, 12, 11, 19, 13, 14, 2, 8, 4]",34,"[0.17813073098659515, 0.5374732613563538, 0.03491639345884323, 0.24078206717967987, 0.0086975684389472]"
hypothesis,"[9, 21, 3, 12, 8, 9, 4, 7, 6, 7]",34,"[0.14730370044708252, 0.06850821524858475, 0.26273128390312195, 0.4331023097038269, 0.08835453540086746]"
illustrate,"[6, 14, 14, 13, 7, 8, 11, 2, 8, 4]",34,"[0.3479495942592621, 0.03222515434026718, 0.5201355218887329, 0.08688624948263168, 0.012803510762751102]"
inference,"[6, 5, 22, 4, 11, 4, 5, 18, 4]",34,"[0.19550155103206635, 0.32527172565460205, 0.1167522668838501, 0.282081663608551, 0.08039283007383347]"
integrate,"[6, 5, 8, 4, 17, 11, 2, 8, 4]",34,"[0.12099471688270569, 0.5304401516914368, 0.062083467841148376, 0.280383437871933, 0.006098202895373106]"
justify,"[23, 13, 7, 8, 6, 22, 21]",34,"[0.24932660162448883, 0.19725123047828674, 0.12119080871343613, 0.3228326737880707, 0.10939867794513702]"
plagiarism,"[3, 14, 2, 17, 6, 2, 11, 6, 7, 19]",34,"[0.14697401225566864, 0.12043999135494232, 0.5001596808433533, 0.16261625289916992, 0.06981000304222107]"
precise,"[3, 11, 4, 18, 6, 7, 4]",34,"[0.7110704779624939, 0.09618961811065674, 0.11590668559074402, 0.06139291077852249, 0.015440278686583042]"
primary source,"[3, 11, 6, 19, 2, 11, 21, 31, 7, 12, 13, 11, 18, 4]",34,"[0.5031198263168335, 0.06665048003196716, 0.10115313529968262, 0.2892438471317291, 0.03983272612094879]"
refine,"[11, 4, 22, 6, 5, 4]",34,"[0.33176252245903015, 0.26711130142211914, 0.1629200428724289, 0.18895882368087769, 0.04924732819199562]"
research,"[11, 4, 7, 4, 2, 11, 18, 9]",34,"[0.5498538613319397, 0.09464837610721588, 0.2686780095100403, 0.07502599060535431, 0.011793756857514381]"
secondary source,"[7, 4, 18, 12, 5, 20, 2, 11, 21, 31, 7, 12, 13, 11, 18, 4]",34,"[0.32363811135292053, 0.031116917729377747, 0.3694978952407837, 0.24651233851909637, 0.029234740883111954]"
significant,"[7, 6, 17, 5, 6, 22, 6, 18, 2, 5, 8]",34,"[0.07131461054086685, 0.06885654479265213, 0.3204900026321411, 0.5068647861480713, 0.03247407078742981]"
specify,"[7, 3, 4, 18, 6, 22, 21]",34,"[0.20004229247570038, 0.12991520762443542, 0.2856515645980835, 0.13827857375144958, 0.24611230194568634]"
structure,"[7, 8, 11, 13, 18, 8, 13, 11, 4]",34,"[0.22429481148719788, 0.03671637177467346, 0.6174605488777161, 0.10936770588159561, 0.012160574086010456]"
synthesize,"[7, 21, 5, 8, 9, 4, 7, 6, 15, 4]",34,"[0.1288422793149948, 0.7008421421051025, 0.026907460764050484, 0.12885211408138275, 0.014556029811501503]"
transition,"[8, 11, 2, 5, 7, 6, 8, 6, 12, 5]",34,"[0.13539254665374756, 0.1898135542869568, 0.2592226564884186, 0.3570898473262787, 0.05848141014575958]"
valid,"[28, 2, 14, 6, 20]",34,"[0.14052027463912964, 0.6232641339302063, 0.15183523297309875, 0.0566796250641346, 0.027700692415237427]"
variable,"[28, 2, 11, 6, 2, 10, 14, 4]",34,"[0.16847087442874908, 0.4175594747066498, 0.14236246049404144, 0.24006648361682892, 0.03154066205024719]"
viewpoint,"[28, 6, 4, 26, 3, 12, 6, 5, 8]",34,"[0.44683367013931274, 0.05342504009604454, 0.21875034272670746, 0.26535648107528687, 0.01563439704477787]"
abundant,"[2, 10, 13, 5, 20, 2, 5, 8]",34,"[0.07847487926483154, 0.05693342909216881, 0.3693804144859314, 0.485807329416275, 0.0094039561226964]"
adage,"[2, 20, 2, 17, 4]",34,"[0.2724689543247223, 0.14450228214263916, 0.45198220014572144, 0.10334648936986923, 0.02770008146762848]"
analogy,"[2, 5, 2, 14, 12, 17, 21]",34,"[0.06261839717626572, 0.5289005637168884, 0.019836466759443283, 0.36972475051879883, 0.018919723108410835]"
clause,"[18, 14, 2, 13, 7, 4]",34,"[0.6427258253097534, 0.05749491602182388, 0.09702866524457932, 0.14571842551231384, 0.057032160460948944]"
complex sentence,"[18, 12, 19, 3, 14, 4, 27, 31, 7, 4, 5, 8, 4, 5, 18, 4]",34,"[0.22736448049545288, 0.09497223794460297, 0.24003440141677856, 0.39665722846984863, 0.04097164049744606]"
compound sentence,"[18, 12, 19, 3, 12, 13, 5, 20, 31, 7, 4, 5, 8, 4, 5, 18, 4]",34,"[0.10678085684776306, 0.09692307561635971, 0.08868815004825592, 0.6778914928436279, 0.02971646375954151]"
connotation,"[18, 12, 5, 5, 12, 8, 2, 8, 6, 12, 5]",34,"[0.12187111377716064, 0.11619940400123596, 0.22352083027362823, 0.5098191499710083, 0.02858944796025753]"
denotation,"[20, 4, 5, 12, 8, 2, 8, 6, 12, 5]",34,"[0.07895882427692413, 0.37212643027305603, 0.09943678975105286, 0.4320697486400604, 0.017408238723874092]"
descriptive,"[20, 4, 7, 18, 11, 6, 3, 8, 6, 28, 4]",34,"[0.07974554598331451, 0.186770498752594, 0.4472883641719818, 0.27792468667030334, 0.008270936086773872]"
etymology,"[4, 8, 21, 19, 12, 14, 12, 17, 21]",34,"[0.03523419052362442, 0.18090267479419708, 0.020468901842832565, 0.7528181076049805, 0.010576136410236359]"
figurative,"[22, 6, 17, 13, 11, 2, 8, 6, 28, 4]",34,"[0.13540741801261902, 0.0638207197189331, 0.48838669061660767, 0.30519500374794006, 0.007190185599029064]"
formal language,"[22, 12, 11, 19, 2, 14, 31, 14, 2, 5, 17, 13, 2, 17, 4]",34,"[0.20792034268379211, 0.07088277488946915, 0.3873782455921173, 0.32563334703445435, 0.008185354992747307]"
hesitate,"[9, 4, 7, 6, 8, 2, 8, 4]",34,"[0.3471338748931885, 0.20047713816165924, 0.1594230979681015, 0.26913055777549744, 0.02383529581129551]"
homograph,"[9, 12, 19, 12, 17, 11, 2, 3, 9]",34,"[0.05288994312286377, 0.8348946571350098, 0.05267336964607239, 0.05395878851413727, 0.005583258345723152]"
informal language,"[6, 5, 22, 12, 11, 19, 2, 14, 31, 14, 2, 5, 17, 13, 2, 17, 4]",34,"[0.12458310276269913, 0.07690861076116562, 0.26453879475593567, 0.5263180136680603, 0.00765142822638154]"
maxim,"[19, 2, 27, 6, 19]",34,"[0.14912444353103638, 0.27298790216445923, 0.061578720808029175, 0.47846296429634094, 0.03784601390361786]"
morphology,"[19, 12, 11, 3, 9, 12, 14, 12, 17, 21]",34,"[0.06913364678621292, 0.07866138219833374, 0.12477770447731018, 0.7073553800582886, 0.020071936771273613]"
nuance,"[5, 13, 2, 5, 18, 4]",34,"[0.11230402439832687, 0.04336104169487953, 0.12201596796512604, 0.6196178793907166, 0.1027010902762413]"
persevere,"[3, 4, 11, 7, 4, 28, 4, 11, 4]",34,"[0.5797589421272278, 0.13144096732139587, 0.10653488337993622, 0.16572938859462738, 0.016535917297005653]"
proverb,"[3, 11, 12, 28, 4, 11, 10]",34,"[0.10123855620622635, 0.024146899580955505, 0.8056869506835938, 0.05986109375953674, 0.009066532365977764]"
reluctant,"[11, 4, 14, 13, 18, 8, 2, 5, 8]",34,"[0.08225129544734955, 0.03990933299064636, 0.504050076007843, 0.36218565702438354, 0.011603686958551407]"
sensory language,"[7, 4, 5, 7, 12, 11, 21, 31, 14, 2, 5, 17, 13, 2, 17, 4]",34,"[0.10849977284669876, 0.02199062705039978, 0.24922312796115875, 0.611076295375824, 0.009210105054080486]"
vivid,"[28, 6, 28, 6, 20]",34,"[0.2309093177318573, 0.1709831953048706, 0.3165968954563141, 0.20134642720222473, 0.08016417920589447]"
angle,"[2, 5, 17, 14, 4]",34,"[0.5928032994270325, 0.09376918524503708, 0.2475513070821762, 0.050727881491184235, 0.01514834351837635]"
citizenship,"[18, 6, 8, 6, 15, 4, 5, 7, 9, 6, 3]",34,"[0.15101999044418335, 0.29000115394592285, 0.09505479037761688, 0.1392476111650467, 0.32467642426490784]"
colony,"[18, 12, 14, 12, 5, 21]",34,"[0.1567874252796173, 0.30278509855270386, 0.06254447996616364, 0.30920740962028503, 0.16867554187774658]"
constitution,"[18, 12, 5, 7, 8, 6, 8, 13, 8, 6, 12, 5]",34,"[0.05467449873685837, 0.05746909976005554, 0.7386455535888672, 0.1319408118724823, 0.01727001741528511]"
consumer,"[18, 12, 5, 7, 13, 19, 4, 11]",34,"[0.15884992480278015, 0.2113877534866333, 0.15920421481132507, 0.41435083746910095, 0.056207239627838135]"
decimal,"[20, 4, 18, 6, 19, 2, 14]",34,"[0.10153985768556595, 0.8224467635154724, 0.02555670589208603, 0.039749663323163986, 0.010707022622227669]"
democracy,"[20, 4, 19, 12, 18, 11, 2, 18, 21]",34,"[0.1194801852107048, 0.21920736134052277, 0.05327025055885315, 0.5439529418945312, 0.0640893429517746]"
density,"[20, 4, 5, 7, 6, 8, 21]",34,"[0.12582677602767944, 0.3091886639595032, 0.1192210465669632, 0.29867786169052124, 0.14708563685417175]"
earthquake,"[4, 2, 11, 8, 9, 24, 13, 2, 16, 4]",34,"[0.23522739112377167, 0.027680210769176483, 0.6029440760612488, 0.12572164833545685, 0.008426716551184654]"
economy,"[4, 18, 12, 5, 12, 19, 21]",34,"[0.11621212959289551, 0.13074061274528503, 0.08404722064733505, 0.5511493682861328, 0.11785067617893219]"
equivalent,"[4, 24, 13, 6, 28, 2, 14, 4, 5, 8]",34,"[0.21441644430160522, 0.23950539529323578, 0.24828726053237915, 0.2856288254261017, 0.01216206420212984]"
erosion,"[4, 11, 12, 7, 6, 12, 5]",34,"[0.3101896643638611, 0.20513403415679932, 0.2839699387550354, 0.14857114851474762, 0.052135322242975235]"
executive,"[4, 27, 4, 18, 13, 8, 6, 28, 4]",34,"[0.0581689327955246, 0.7709217667579651, 0.02719215489923954, 0.13997766375541687, 0.003739427775144577]"
export,"[4, 27, 3, 12, 11, 8]",34,"[0.058804817497730255, 0.11433366686105728, 0.08665668219327927, 0.6969761848449707, 0.04322865605354309]"
food chain,"[22, 12, 12, 20, 31, 18, 9, 2, 6, 5]",34,"[0.47654756903648376, 0.036339741200208664, 0.3650401830673218, 0.09707093238830566, 0.025001563131809235]"
import,"[6, 19, 3, 12, 11, 8]",34,"[0.053261540830135345, 0.15047268569469452, 0.09592267125844955, 0.6789862513542175, 0.02135688252747059]"
independence,"[6, 5, 20, 4, 3, 4, 5, 20, 4, 5, 18, 4]",34,"[0.05824878439307213, 0.024757927283644676, 0.0319819375872612, 0.8552252650260925, 0.029786063358187675]"
judicial,"[23, 13, 20, 6, 18, 6, 2, 14]",34,"[0.14667586982250214, 0.13133621215820312, 0.44742268323898315, 0.16120490431785583, 0.11336031556129456]"
legislature,"[14, 4, 17, 6, 7, 14, 2, 8, 13, 11, 4]",34,"[0.18715287744998932, 0.04975088685750961, 0.6622195839881897, 0.09790268540382385, 0.0029738983139395714]"
mass,"[19, 2, 7, 7]",34,"[0.33667197823524475, 0.11474508792161942, 0.3333221971988678, 0.15149201452732086, 0.06376862525939941]"
matter,"[19, 2, 8, 8, 4, 11]",34,"[0.19187518954277039, 0.1707509607076645, 0.31965547800064087, 0.2914043664932251, 0.026314059272408485]"
nonrenewable,"[5, 12, 5, 11, 4, 5, 4, 26, 2, 10, 14, 4]",34,"[0.30825069546699524, 0.3073475956916809, 0.07249262928962708, 0.28336748480796814, 0.02854158729314804]"
producer,"[3, 11, 12, 20, 13, 18, 4, 11]",34,"[0.19547145068645477, 0.17193672060966492, 0.3089298605918884, 0.2704237997531891, 0.053238119930028915]"
protractor,"[3, 11, 12, 8, 11, 2, 18, 8, 12, 11]",34,"[0.1905430257320404, 0.11195508390665054, 0.10238707810640335, 0.5637607574462891, 0.0313541479408741]"
renewable,"[11, 4, 5, 4, 26, 2, 10, 14, 4]",34,"[0.3707014322280884, 0.3537924289703369, 0.05412866175174713, 0.19851423799991608, 0.02286323718726635]"
revolution,"[11, 4, 28, 12, 14, 13, 8, 6, 12, 5]",34,"[0.08845757693052292, 0.10304354876279831, 0.5287624001502991, 0.2745762765407562, 0.005160143598914146]"
scarcity,"[7, 18, 2, 11, 18, 6, 8, 21]",34,"[0.15045319497585297, 0.1820068508386612, 0.3984867036342621, 0.13631978631019592, 0.1327335238456726]"
symmetry,"[7, 21, 19, 19, 4, 8, 11, 21]",34,"[0.13102605938911438, 0.03255019336938858, 0.6833522319793701, 0.13331738114356995, 0.01975416950881481]"
tectonic plates,"[8, 4, 18, 8, 12, 5, 6, 18, 31, 3, 14, 2, 8, 4, 7]",34,"[0.3634291887283325, 0.019321832805871964, 0.3803653419017792, 0.2014080137014389, 0.03547559306025505]"
volcano,"[28, 12, 14, 18, 2, 5, 12]",34,"[0.1378338634967804, 0.20713219046592712, 0.3224942088127136, 0.30264270305633545, 0.029896976426243782]"
volume,"[28, 12, 14, 13, 19, 4]",34,"[0.1648300588130951, 0.2660187780857086, 0.19512656331062317, 0.359214186668396, 0.014810465276241302]"
weathering,"[26, 4, 2, 8, 9, 4, 11, 6, 5, 17]",34,"[0.17341643571853638, 0.14852890372276306, 0.5728278756141663, 0.0971548855304718, 0.008071844466030598]"
allusion,"[2, 14, 14, 13, 7, 6, 12, 5]",34,"[0.11619388312101364, 0.03072480857372284, 0.8058217167854309, 0.035832591354846954, 0.01142710167914629]"
antagonist,"[2, 5, 8, 2, 17, 12, 5, 6, 7, 8]",34,"[0.0890415832400322, 0.11376184225082397, 0.17476798593997955, 0.6040892601013184, 0.018339358270168304]"
climax,"[18, 14, 6, 19, 2, 27]",34,"[0.19236108660697937, 0.14181093871593475, 0.1460408717393875, 0.4396337568759918, 0.08015336841344833]"
flashback,"[22, 14, 2, 7, 9, 10, 2, 18, 16]",34,"[0.07780196517705917, 0.02260378934442997, 0.457640141248703, 0.058761116117239, 0.38319286704063416]"
foreshadowing,"[22, 12, 11, 4, 7, 9, 2, 20, 12, 26, 6, 5, 17]",34,"[0.5117029547691345, 0.25676894187927246, 0.15234936773777008, 0.07522422075271606, 0.003954580519348383]"
genre,"[17, 4, 5, 11, 4]",34,"[0.2717881202697754, 0.12610557675361633, 0.21470299363136292, 0.341830313205719, 0.04557299241423607]"
historical fiction,"[9, 6, 7, 8, 12, 11, 6, 18, 2, 14, 31, 22, 6, 18, 8, 6, 12, 5]",34,"[0.29062190651893616, 0.15894059836864471, 0.345323771238327, 0.16913044452667236, 0.035983242094516754]"
imagery,"[6, 19, 2, 17, 4, 11, 21]",34,"[0.12457548081874847, 0.4312555491924286, 0.13597749173641205, 0.28412309288978577, 0.024068323895335197]"
irony,"[6, 11, 12, 5, 21]",34,"[0.3008083999156952, 0.07887253910303116, 0.2628800570964813, 0.24229952692985535, 0.11513949930667877]"
memoir,"[19, 4, 19, 12, 6, 11]",34,"[0.43566200137138367, 0.1645640879869461, 0.062587209045887, 0.3167170286178589, 0.020469622686505318]"
mood,"[19, 12, 12, 20]",34,"[0.28407853841781616, 0.12284865975379944, 0.35818737745285034, 0.13403403759002686, 0.10085140913724899]"
narrative,"[5, 2, 11, 11, 2, 8, 6, 28, 4]",34,"[0.17317137122154236, 0.09686095267534256, 0.433222234249115, 0.28880178928375244, 0.007943578064441681]"
omniscient,"[12, 19, 5, 6, 7, 18, 6, 4, 5, 8]",34,"[0.24436743557453156, 0.11537227779626846, 0.4212210178375244, 0.16861818730831146, 0.05042111128568649]"
parody,"[3, 2, 11, 12, 20, 21]",34,"[0.23622949421405792, 0.3627121150493622, 0.1397164911031723, 0.16946189105510712, 0.09188000112771988]"
perspective,"[3, 4, 11, 7, 3, 4, 18, 8, 6, 28, 4]",34,"[0.17625044286251068, 0.08591438084840775, 0.1408633291721344, 0.5744305849075317, 0.02254118025302887]"
plot,"[3, 14, 12, 8]",34,"[0.284013956785202, 0.10108575969934464, 0.27981311082839966, 0.26469576358795166, 0.07039134949445724]"
